Next Check,To Do,Date,Yard,Hive,Boxes,Temper,Bees Top,Bees Bottom,Brood Top,Brood Bottom,Brood Total,Uncapped?,Pollen,Nectar?,Queen?,Quen Cells,Drones,Disease?,Comment,Priority,,
,,21-Aug,Research,52,2,1,,,3.5,3.5,7,yes,yes,yes,"yes, eggs",,,,,,,
,,22-Aug,Research,28,1,1,,,N/A,3,yes,yes,yes,yes,Green&eggs,Packed down,,,,,,
,,22-Aug,Research,44,1,1,,,N/A,5,5,yes,yes,yes,eggs,,,,,,,
26-Aug,Remove Q Cells,23-Aug,Research,53,1,2,,,,,,,,,Q Moved into Nuc ,,,Queenless,,,,
FANG YU,Don't touch,26-Aug,Research,51,2,1,,,10,,,,,,,,,,,Removed Brood,,
FANG YU,Don't touch,27-Aug,Research,50,2.5,,,,,,,,,,,,,VARROA,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Next Check,To Do,Date,Yard,Hive,Boxes,Temper,Bees Top,Bees Bottom,Brood Top,Brood Bottom,Brood Total,Uncapped?,Pollen,Nectar?,Queen?,Quen Cells,Drones,Disease?,Comment,Priority,,
3-Sep,Check,13-Aug,Teaching,20,2,,,,2,4,6,yes,yes,yes,eggs,no,yes,,,,,
3-Sep,Check,13-Aug,Teaching,9B,2,,,,5,2,7,yes,yes,yes,eggs,,,,,,,
4-Sep,Check,14-Aug,Teaching,62,1,1.5,,,,4.5,N/A,yes,yes,yes,,,,2nd deep soon,,,,
5-Sep,Check,15-Aug,Teaching,2,2,,,,2.5,7,9.5,yes,yes,yes,,yes,,,,,,
5-Sep,Check,15-Aug,Teaching,5,2,ok,,,9,5,14,yes,yes,yes,Unmarked,yes,,,,,,
5-Sep,Check,15-Aug,Teaching,8,2,,,,3.5,5,8.5,yes,yes,yes,eggs,,Drones,,,,,
5-Sep,Check,15-Aug,Teaching,11,2,,,,7,5,13,yes,,,,Unmarked&Eggs,,,,,,
5-Sep,Check,15-Aug,Teaching,12,2,,,,7.5,4,11.5,yes,yes,yes,eggs,,,,,,,
5-Sep,Check,15-Aug,Teaching,13,2,,,,5,4,9,yes,yes,yes,green,,no,Wax moth,,,,
5-Sep,Check,15-Aug,Teaching,21,2,,,,4,5,9,yes,yes,yes,UNMARKED,,,,,,,
5-Sep,Check,15-Aug,Teaching,23,2,,,,5.5,4,9.5,yes,yes,yes,White,,,,,,,
5-Sep,Check,15-Aug,Teaching,24,2,,,,6,3,9,yes,yes,yes,Red&eggs,no,yes,,,,,
6-Sep,Check,16-Aug,Teaching,18,2,1.5,,,,,,,,,,,,,,,,
9-Sep,Check,19-Aug,Teaching,17,2,ok,,,,,,,,,has queen,,,,Very strong,,,
10-Sep,Check,20-Aug,Teaching,25,2,1,,,,,,,,,,,,Moved today,,,,
10-Sep,Check,20-Aug,Teaching,55,2,1,,,,,,,,,,,,Moved Today,,,,
11-Sep,Check,21-Aug,Teaching,19,1,,,,,,,,,,New Q today,,,,Check Friday,,,
11-Sep,Check,21-Aug,Teaching,22,2,1,,,,,,,Leave to Requeen self,,,Heaps,,,Gave new Box,,,
13-Sep,Check,23-Aug,Teaching,1,2,1.5,,,3.5,5,8.5,yes,yes,yes,eggs,no,yes,,,Strong,,
13-Sep,Check,23-Aug,Teaching,4a,2,1.5,,,2.5,2.5,5,yes,yes,yes,Green&eggs,,,,RENUMBER,,,
16-Sep,Check,27-Aug,Teaching,3,1,,,,N/A,10,,3,3,yes,yes,yes,lots of eggs,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
